Date,Day,Parking,Total,Occupied,Available
01-01-2018 7:15,Monday,New York,50,43,7
01-01-2018 7:30,Monday,New York,50,47,3
01-01-2018 7:45,Monday,New York,50,49,1
01-01-2018 8:00,Monday,New York,50,50,0
01-01-2018 8:15,Monday,New York,50,46,4
01-01-2018 8:30,Monday,New York,50,40,10
01-01-2018 8:45,Monday,New York,50,47,3
01-01-2018 9:00,Monday,New York,50,47,3
02-01-2018 7:15,Tuesday,New York,50,43,7
02-01-2018 7:30,Tuesday,New York,50,43,7
02-01-2018 7:45,Tuesday,New York,50,45,5
02-01-2018 8:00,Tuesday,New York,50,41,9
02-01-2018 8:15,Tuesday,New York,50,36,14
02-01-2018 8:30,Tuesday,New York,50,49,1
02-01-2018 8:45,Tuesday,New York,50,38,12
02-01-2018 9:00,Tuesday,New York,50,44,6
03-01-2018 7:15,Wednesday,New York,50,40,10
03-01-2018 7:30,Wednesday,New York,50,39,11
03-01-2018 7:45,Wednesday,New York,50,46,4
03-01-2018 8:00,Wednesday,New York,50,46,4
03-01-2018 8:15,Wednesday,New York,50,46,4
03-01-2018 8:30,Wednesday,New York,50,39,11
03-01-2018 8:45,Wednesday,New York,50,38,12
03-01-2018 9:00,Wednesday,New York,50,47,3
04-01-2018 7:15,Thursday,New York,50,36,14
04-01-2018 7:30,Thursday,New York,50,40,10
04-01-2018 7:45,Thursday,New York,50,40,10
04-01-2018 8:00,Thursday,New York,50,46,4
04-01-2018 8:15,Thursday,New York,50,48,2
04-01-2018 8:30,Thursday,New York,50,40,10
04-01-2018 8:45,Thursday,New York,50,47,3
04-01-2018 9:00,Thursday,New York,50,37,13
05-01-2018 7:15,Friday,New York,50,36,14
05-01-2018 7:30,Friday,New York,50,50,0
05-01-2018 7:45,Friday,New York,50,42,8
05-01-2018 8:00,Friday,New York,50,35,15
05-01-2018 8:15,Friday,New York,50,43,7
05-01-2018 8:30,Friday,New York,50,40,10
05-01-2018 8:45,Friday,New York,50,40,10
